locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,31.0,"{'utc': '2023-01-04T10:00:00+00:00', 'local': '2023-01-04T17:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,30.0,"{'utc': '2023-01-04T11:00:00+00:00', 'local': '2023-01-04T18:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,30.0,"{'utc': '2023-01-04T12:00:00+00:00', 'local': '2023-01-04T19:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T13:00:00+00:00', 'local': '2023-01-04T20:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T14:00:00+00:00', 'local': '2023-01-04T21:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T15:00:00+00:00', 'local': '2023-01-04T22:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,28.0,"{'utc': '2023-01-04T16:00:00+00:00', 'local': '2023-01-04T23:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,28.0,"{'utc': '2023-01-04T17:00:00+00:00', 'local': '2023-01-05T00:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T18:00:00+00:00', 'local': '2023-01-05T01:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T19:00:00+00:00', 'local': '2023-01-05T02:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T20:00:00+00:00', 'local': '2023-01-05T03:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T21:00:00+00:00', 'local': '2023-01-05T04:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T22:00:00+00:00', 'local': '2023-01-05T05:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-04T23:00:00+00:00', 'local': '2023-01-05T06:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-05T00:00:00+00:00', 'local': '2023-01-05T07:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-05T01:00:00+00:00', 'local': '2023-01-05T08:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-05T02:00:00+00:00', 'local': '2023-01-05T09:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,29.0,"{'utc': '2023-01-05T03:00:00+00:00', 'local': '2023-01-05T10:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
225577,"Bank of Ayuthaya Head Office Yan Nawa, Bangkok",pm25,30.0,"{'utc': '2023-01-05T04:00:00+00:00', 'local': '2023-01-05T11:00:00+07:00'}",µg/m³,"{'latitude': 13.679226, 'longitude': 100.54687}",NA,,False,,Governmental Organization,reference grade
